,med_exp,med_model,scale,med_ratio,scale_ratio,rate,rate_L95%,rate_U95%,beta,beta_L95%,beta_U95%,s,s_L95%,s_U95%,model type,lambda,lambda_L95%,lambda_U95%,scale_ratio_log2,lifespan_ratio_log2,shape_ratio_log2,med_exp_U95%,med_exp_L95%,inverse_eta,model_type,shape_exp,shape_med,med_model_L95%,med_model_U95%,shape_med_L95%,shape_med_U95%,shape_eta,scale_ratio_log2_L95%,scale_ratio_log2_U95%,lifespan_ratio_log2_L95%,lifespan_ratio_log2_U95%,shape_ratio_log2_L95%,shape_ratio_log2_U95%,rate_overlap_wt,med_exp_overlap_wt,shape_med_overlap_wt,yield_mean,yield_std
zapE,94.40604041666667,93.1356265572224,18.626476448491808,1.3616319672108537,1.3583775509859557,0.053687019268798444,0.05028806456202715,0.05731570827135743,559.4146569846145,379.8467537781085,823.8710883706113,2.968510922944432,1.7244015808683437,5.1102116800443795,GG,0.0,0.0,0.0,0.4418845217267538,0.46370077327794607,0.0034522911465362876,94.40604041666667,90.93237430555556,188.43538332225307,GG,5.068378910940548,4.999278017009848,92.27116793236692,94.07023096276023,4.691507306006363,5.330582868661548,4.879869252780293,0.34752724322878015,0.5362418002247273,0.40961562532087903,0.46370077327794607,-0.09395754861269244,0.09028423144439332,-1.0,1.0,0.0,,
yihV%202,96.47505361111112,98.30000000000001,14.90637096538577,1.4371345029239766,1.08708051906878,0.06708540947505666,0.055059880876943246,0.08173741193691214,2099468.111145784,9.712218454465565e-10,4.5383723300533793e+21,1299.646477360371,5.646206276406154e-13,2.991532514802716e+18,GGM,0.002738760345214918,0.001856105566293783,0.004041153889484384,0.12045880343699905,0.4949775427174469,0.4027362880176837,99.55973069444445,93.64470999999999,1606.5875336358536,GGM,6.472068475629433,6.966101617793566,92.5,322.8999999999959,5.2107322531676346,20.91666760373606,7.016252327908872,-0.1645387341567015,0.4054563410306993,0.45201910101431203,0.5403839301312896,0.05747706503598313,2.062572057269586,0.0,1.0,0.0,,
norW,101.18909555555555,101.2,9.051792465405013,1.47953216374269,0.6601222574324077,0.11047535654644022,0.10198023152293924,0.11967813979043347,37321.261743508614,19009.73246913338,73271.76120911386,0.6095060227641216,0.5236367228979234,0.7094567197842554,GGM,0.00036867040553901614,0.000276337625818386,0.0004918543666204553,-0.5991948524507266,0.563803526340233,1.1643359122591388,101.24029819444445,101.14813152777778,60988.5907749764,GGM,11.17890141011181,11.18716192308285,100.5,101.9,10.315000485463814,12.072495842726866,10.65195282348746,-0.7146299212905545,-0.48375978361089844,0.5632193669011699,0.5645333590331278,1.042662923417615,1.269643000999976,1.0,1.0,1.0,0.3083744520164864,0.004422564177084402
norV,111.93116402777778,112.0,5.975766863326091,1.6374269005847952,0.4357961947078395,0.167342539103576,0.14895908845211836,0.18799474194307625,21966986.669243027,3831852.7960776105,125930856.16980138,0.32899585727498154,0.2651945955545912,0.40814660599604413,GGM,0.0003176426792593108,0.00022676291367326948,0.0004449443255629104,-1.1982744957261018,0.7093614665024675,1.9097049977851703,113.11088083333334,110.61090152777777,66849441.96559909,GGM,18.730845193227182,18.77062054842682,110.9,113.0,16.652470858049202,20.96244890634952,17.651440614916755,-1.3661625767009808,-1.0303864147512227,0.6922432780497856,0.7244874148718704,1.7336552914816574,2.065726301678734,1.0,1.0,1.0,0.26639727167766036,0.003897466607531198
yncI,84.27427222222222,84.01237765863738,24.304664833126612,1.2282511353601955,1.7724721680374624,0.041144364954871816,0.039432525389497965,0.042930518672551,12966.909426798531,0.010748433302963491,15643278917.350483,298.7137861413338,0.00023604934150365785,378013873.9743428,GG,0.0,0.0,0.0,0.8257629739530409,0.29991386564910527,-0.5291574012774891,85.28658791666666,83.00793277777777,43.40224087822384,GG,3.467411412617327,3.469139683727069,82.80016535256229,inf,3.288518556062584,inf,3.4366977500456555,0.7644542266076502,0.8870717212984327,0.27807081861279603,0.3171404848509798,-0.6065712496291327,inf,-1.0,1.0,0.0,0.2907469678820037,0.01028166016016772
yecP,88.13302819444445,87.15081881793142,12.2817549300752,1.274134778039933,0.8956745109500347,0.08142158882776837,0.07321515090765715,0.09054785853818184,8196.509692186664,4564.644902736675,14718.07173737246,5.0314253358699315,2.133544551705915,11.865344405483633,GG,0.0,0.0,0.0,-0.1589535442463432,0.3645043782906442,0.5084714382654718,88.15878125,85.15953319444444,1626.2932789818465,GG,7.175931183794173,7.099938603746638,85.87820578150345,88.41290842616453,6.3484061249685055,7.88474495203835,7.028432434709815,-0.3122226920915909,-0.005684396401095526,0.3149896438646606,0.36492588177307034,0.34238536369487993,0.6550550282997439,0.0,1.0,1.0,0.11906465277777786,0.05197129251643176
pgi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
nirC,109.28074319444444,108.4,7.227740883844021,1.5847953216374269,0.5270992067719859,0.13835581768506308,0.10862659316143361,0.17622141807259262,3693519.8806513827,270614.51094126154,50411521.027887896,0.9453526336927834,0.40704638294672135,2.1955522502379243,GGM,0.0006439966542915095,0.00044819028727491745,0.0009253473413275104,-0.923853573920246,0.6747888973611489,1.5881501003882197,111.25041055555555,107.33033499999999,3957718.271875387,GGM,15.119626581898753,15.078178979324324,105.7,109.7,11.51695922953752,18.856572796829667,14.824665667141499,-1.2728595462813677,-0.5748476015591248,0.6488075828170442,0.7005603573058203,1.2016788931281943,1.912986522697838,1.0,1.0,1.0,0.3794884817672543,0.033216475152106684
80%20MG%20yagS,81.37058680555556,79.64155581799658,18.972887244100203,1.1643502312572598,1.3836403348235145,0.052706790860782636,0.05120578525702555,0.05425179574726142,135978.2821780357,0.011180968772984919,1653711194397.0972,1457.002714783999,0.00011699974496729131,18144115711.375412,GG,0.0,0.0,0.0,0.46846897577757207,0.24932899700505057,-0.24894389614143075,81.37394263888889,81.3616548611111,93.41752600570943,GG,4.288782500979576,4.214039269850704,78.74439630718564,inf,4.0472151945027885,inf,4.185891530105394,0.4267869377762197,0.5101510137789247,0.24917062553746083,0.24938849447787195,-0.3070794999997228,inf,-1.0,1.0,0.0,,
ssuE%202,91.65120388888889,91.0,6.346902877279282,1.330409356725146,0.46286212052105175,0.15755716123840682,0.11598141094660099,0.21403653270725137,2592602.4172408925,52984.950697255365,126858423.10751642,0.5311532028757734,0.30763686492501763,0.9170673514500819,GGM,0.004417040315162241,0.0037458286606879805,0.005208525779763024,-1.1113455939825938,0.42097543372737267,1.5232158141827543,92.70036736111112,90.63677805555555,4868800.333717205,GGM,14.440303508815765,14.431563747160247,86.30000000000001,93.2,10.07946777692557,18.998113875534422,15.03184550239939,-1.5533273284662497,-0.6693638594989375,0.40491817957972354,0.4373966583462295,1.009338496955485,1.9237752298251865,1.0,1.0,1.0,,
yoaF,118.4368751388889,115.90382787820714,19.32194485181424,1.6945004075761276,1.4090961433673792,0.0517546244785035,0.044954644126160334,0.059583191169167715,1127.3496886680948,591.6340774934368,2148.147594750657,2.29362624213024,0.7710479034583271,6.822820365625717,GG,0.0,0.0,0.0,0.49477005084360937,0.7908680289225846,0.2660899329880279,119.84543277777777,114.34103055555556,490.99030529411164,GG,6.129655997220602,5.992192676207944,114.1969556287403,118.1672681593881,5.24148173394575,6.938928557687255,5.8328454908472755,0.29155243584736956,0.697987665839849,0.7400928955849395,0.8079246271101601,0.06596564964900373,0.47070385237685497,-1.0,1.0,0.0,0.2812998531504067,0.019489852943002327
ycaL,65.80312472222222,64.1442962669507,15.120805183376673,0.9377821091659458,1.102718615124551,0.06613404430997946,0.05909181344766371,0.07401552874440086,69.53274891623369,51.27577291462272,94.29020562787493,1.008197977350821,0.7737566540881143,1.3136729179178512,GG,0.0,0.0,0.0,0.1410646999463296,-0.057022304458653396,-0.23374003898222506,68.27740652777779,63.255179999999996,69.0485733156872,GG,4.3518267661145495,4.247235090496689,62.4231434042714,65.90069630591643,3.7741534132776797,4.740169998785277,3.8889759284679197,-0.021370155830949145,0.3034995557236084,-0.11399477005257726,-0.003770138166322984,-0.40785599322520316,-0.07907026053976714,0.0,0.0,0.0,,
