,R1,R2,R3,R4,R5,R6,R7,R8
agaV,0.36762336182300000,0.35590566371700000,0.363797857143,0.362302315789,0.364331372549,0.36120861111100000,0.373063333333,0.370994505495
gltK,0.425402604167,0.412751129032,0.426235860215,0.41356738888900000,0.420950243902,0.41332631578900000,0.41691800569800000,0.423423563218
gspF,0.509651047619,0.414934653465,0.42413852564100000,0.41472789115600000,0.425309666667,0.41481930555600000,0.41646366666700000,0.411585154639
mtlD,0.40243929824600000,0.397326049383,0.41516747663600000,0.40562839743600000,0.403884197531,0.402601830065,0.404428073394,0.40562810457500000
rarD,0.43301438202200000,0.394076632302,0.40681579288,0.397039037801,0.39616940000000000,0.39145848797300000,0.395216190476,0.399893971631
rsd,0.41248451977400000,0.41057701149400000,0.449030212766,0.40843084058,0.414788562691,0.40731899705000000,0.414215365079,0.41342148148100000
uxaB,0.394812328042,0.400425333333,0.405969747899,0.407195333333,0.40003424501400000,0.401955735736,0.416304166667,0.40766617284
MG-WT,0.41363214521500000,0.403295510204,0.416922380952,0.40378554386,0.404960212766,0.40709875969000000,0.41010091228100000,0.408814621212
yagS,0.382550707071,0.387474343434,0.389579141914,0.39405201388900000,0.39447048689100000,0.39022094117600000,0.386194318182,0.39444984127
atos,0.346223760684,0.363771818182,0.359088095238,0.355369457364,0.355622325581,0.352004273504,0.359292868217,0.361427008547
bglF,0.307272478632,0.30098571428600000,0.303752195122,0.297942807018,0.30073969697000000,0.291750406504,0.294816060606,0.29000984127000000
dcuA,0.302166315789,0.29930462963000000,0.299627666667,0.29486018018000000,0.29483066666700000,0.289553859649,0.292487121212,0.2902185
eptA,0.298221818182,0.294759777778,0.295819791667,0.294556321839,0.289428444444,0.289682888889,0.283804040404,0.284858333333
eutQ,0.292031111111,0.29437454545500000,0.292640925926,0.295291827957,0.294127272727,0.299052098765,0.297842916667,0.298461875
flgD,0.32155632183900000,0.318178611111,0.31776666666700000,0.31260373333300000,0.312254888889,0.31252641025600000,0.31173,0.312944040404
glf,0.438036767677,0.340350222222,0.343968421053,0.322042882883,0.322213846154,0.319528468468,0.320475042735,0.317632520325
gltL,0.361734022989,0.364183636364,0.37833205128200000,0.37162787878800000,0.378559649123,0.36522962963,0.347546315789,0.333920606061
gnsA,0.30460809523800000,0.311676410256,0.31054074074100000,0.306913846154,0.305130344828,0.307189135802,0.302124946237,0.297994509804
cstA,0.295837777778,0.294478333333,0.30390823529400000,0.29177761904800000,0.277683063063,0.275488172043,0.28076,0.282875185185
